obiekt1,obiekt2,sk³adnik_z_ob1,sk³adnik_z_ob2,wart1,wart2
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:Disconnector,cim:IdentifiedObject.description,cim:IdentifiedObject.description,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:VoltageLevel,cim:IdentifiedObject.description,cim:VoltageLevel.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:ExternalNetworkInjection,cim:IdentifiedObject.description,cim:ConductingEquipment.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:ExternalNetworkInjection,cim:IdentifiedObject.description,cim:ConductingEquipment.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:ExternalNetworkInjection,cim:IdentifiedObject.description,cim:ConductingEquipment.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:ExternalNetworkInjection,cim:IdentifiedObject.description,cim:ConductingEquipment.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:EnergySource,cim:IdentifiedObject.description,cim:ConductingEquipment.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:EnergySource,cim:IdentifiedObject.description,cim:ConductingEquipment.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
cim:Breaker,cim:PowerTransformerEnd,cim:IdentifiedObject.description,cim:TransformerEnd.BaseVoltage.rdf:resource,#_82a8df0919534a13912534f5e14caf09,#_82a8df0919534a13912534f5e14caf09
